agent_id,agent_name,region,channel,team_lead_id,monthly_quota,hire_date
1,Alejandro López,Medellín,Externo,1,67,2022-03-13
2,Carlos Silva,Medellín,Interno,2,114,2023-04-04
3,Sebastián Ramírez,Barranquilla,Externo,3,48,2022-05-11
4,Camila González,Bogotá,Externo,4,68,2023-02-18
5,Gabriela López,Bogotá,Interno,5,60,2022-06-10
6,Sofía Silva,Bogotá,Externo,6,68,2024-05-06
7,Cristian Medina,Bogotá,Externo,7,66,2023-04-21
8,Juan Reyes,Bucaramanga,Interno,8,101,2023-11-18
9,Isabella Rodríguez,Cali,Interno,9,103,2023-05-20
10,Carlos Martínez,Bogotá,Externo,10,45,2024-04-20
11,Diego Ramírez,Bogotá,Externo,10,38,2022-08-30
12,Nicolás Ortega,Bogotá,Interno,8,99,2023-03-31
13,Carlos Medina,Bogotá,Externo,8,60,2023-07-16
14,Diego Rojas,Cali,Externo,4,78,2022-04-16
15,Alejandro Rojas,Bogotá,Externo,2,50,2023-07-10
16,Paula Vargas,Medellín,Externo,8,55,2024-03-26
17,Camila Castro,Medellín,Externo,2,64,2023-12-26
18,David Torres,Medellín,Externo,9,49,2024-02-03
19,Mariana Chávez,Bogotá,Interno,8,110,2023-06-05
20,Carlos Guerrero,Medellín,Interno,3,102,2022-05-19
21,Mariana Pérez,Cali,Externo,5,57,2023-01-14
22,Ricardo Vargas,Bucaramanga,Externo,9,52,2022-05-15
23,Felipe Torres,Cali,Interno,7,87,2023-05-18
24,Andrés Sánchez,Cali,Externo,6,68,2024-05-21
25,Mateo Rivera,Barranquilla,Externo,3,61,2023-04-07
26,Luisa Martínez,Cali,Externo,9,38,2024-05-20
27,Santiago López,Cali,Interno,7,116,2023-11-22
28,Daniela Chávez,Medellín,Externo,5,28,2024-01-04
29,Daniela Ortega,Bogotá,Externo,4,67,2023-06-25
30,Sebastián Gómez,Bucaramanga,Externo,2,75,2022-03-27
31,María Silva,Cali,Interno,4,45,2024-03-06
32,Julián Medina,Barranquilla,Externo,9,79,2022-12-14
33,Luisa Díaz,Bogotá,Interno,4,66,2023-09-25
34,Santiago Martínez,Medellín,Interno,9,109,2023-04-01
35,Paula Flores,Medellín,Externo,8,66,2023-11-15
36,Esteban Suárez,Bucaramanga,Interno,1,91,2022-04-23
37,Natalia Ríos,Bogotá,Interno,3,78,2023-01-21
38,Catalina Morales,Bogotá,Interno,2,98,2022-04-23
39,David Sánchez,Medellín,Interno,2,40,2023-02-07
40,Ricardo Martínez,Medellín,Externo,7,30,2023-02-20
41,María Mendoza,Cali,Externo,6,41,2024-02-06
42,Camila Guerrero,Medellín,Externo,1,30,2023-05-26
43,Laura Martínez,Bogotá,Externo,3,40,2022-12-15
44,Catalina Ramírez,Medellín,Externo,3,43,2022-12-12
45,Catalina López,Barranquilla,Interno,9,110,2024-03-30
46,Santiago Torres,Cali,Interno,9,40,2024-02-18
47,Julián Suárez,Bogotá,Externo,3,54,2022-10-25
48,Esteban Morales,Bogotá,Interno,2,99,2024-05-30
49,Valentina Morales,Bucaramanga,Externo,7,29,2022-02-06
50,Daniela Sánchez,Bogotá,Interno,3,87,2022-07-27
51,Sofía Torres,Barranquilla,Externo,1,57,2023-09-20
52,Ricardo Díaz,Bogotá,Externo,3,44,2022-09-11
53,Sofía Suárez,Medellín,Externo,2,49,2024-05-10
54,Juan Ortega,Bogotá,Externo,9,78,2022-06-12
55,Alejandro Pérez,Bogotá,Interno,4,53,2022-10-04
56,Paula Silva,Medellín,Externo,1,27,2023-02-05
57,Camila Pérez,Medellín,Externo,6,46,2023-01-10
58,Julián Jiménez,Bogotá,Externo,6,69,2023-07-17
59,Sebastián Díaz,Barranquilla,Externo,1,45,2024-03-08
60,Alejandro Rojas,Medellín,Externo,3,29,2024-04-08
61,Paula Ramírez,Medellín,Externo,5,41,2022-06-21
62,Sofía Rivera,Barranquilla,Externo,1,61,2022-10-07
63,Esteban Guerrero,Medellín,Externo,5,57,2022-04-26
64,Mateo Rodríguez,Bogotá,Interno,2,106,2022-05-08
65,Camila Muñoz,Medellín,Externo,8,27,2024-05-21
66,María Gómez,Bogotá,Externo,10,47,2023-10-01
67,Felipe Jiménez,Barranquilla,Externo,6,57,2023-01-28
68,Sebastián Martínez,Medellín,Interno,2,65,2024-05-16
69,Diego Díaz,Barranquilla,Externo,4,31,2024-04-04
70,David Ríos,Cali,Externo,3,70,2023-02-04
71,Ricardo Rivera,Bogotá,Interno,7,105,2024-03-10
72,Diego Suárez,Cali,Interno,6,97,2023-07-29
73,Sara Jiménez,Medellín,Interno,6,91,2023-11-13
74,Cristian Díaz,Bogotá,Externo,5,61,2022-09-21
75,Alejandro Castro,Bogotá,Externo,6,63,2022-07-15
76,Andrés Torres,Bogotá,Externo,7,71,2024-05-16
77,Andrés Ramírez,Bogotá,Interno,1,69,2023-10-21
78,Gabriela Medina,Medellín,Externo,5,79,2022-12-12
79,Paula Torres,Bogotá,Interno,10,48,2023-10-03
80,Gabriela Reyes,Barranquilla,Externo,6,56,2023-09-30
81,Isabella Ríos,Cali,Externo,7,77,2024-06-15
82,David Jiménez,Cali,Externo,3,53,2022-09-04
83,Daniela Ramírez,Bogotá,Interno,5,96,2022-10-12
84,Andrés Herrera,Bogotá,Interno,10,101,2023-03-29
85,Sara Martínez,Cali,Externo,5,60,2022-10-16
86,Mateo Rodríguez,Medellín,Externo,2,29,2022-04-10
87,Catalina López,Bogotá,Interno,1,58,2023-03-18
88,Andrés Suárez,Medellín,Externo,7,40,2024-03-02
89,Valentina Gómez,Bucaramanga,Externo,4,56,2023-04-20
90,Sofía Vargas,Medellín,Interno,5,72,2023-11-22
91,Natalia Martínez,Cali,Externo,2,64,2024-04-21
92,Santiago Jiménez,Bogotá,Externo,10,47,2024-04-28
93,Natalia Castro,Bogotá,Externo,3,50,2023-02-22
94,Nicolás Torres,Bogotá,Interno,8,114,2023-02-17
95,Paula Chávez,Cali,Externo,5,60,2023-01-29
96,Carlos Mendoza,Cali,Externo,4,73,2022-04-09
97,Gabriela López,Medellín,Externo,5,48,2023-10-25
98,Sofía Ríos,Bogotá,Externo,3,47,2022-08-05
99,Paula Guerrero,Bogotá,Externo,9,44,2024-05-29
100,Sebastián Guerrero,Bogotá,Externo,9,73,2023-09-04
